wChemicalFormula	wListOfElements	wListOfElementsQ	wCurieTemperature
Co13Fe4Tm2	Co;Fe;Tm;	13;4;2;	1108 K;
Co13Fe4Yb2	Co;Fe;Yb;	13;4;2;	1180 K;
Co13Ga4Gd2	Co;Ga;Gd;	13;4;2;	588 K;
Co13Ga4La0.25Y1.75	Co;Ga;La;Y;	13;4;0.25;1.75;	557 K;
Co13Ga4La0.5Y1.5	Co;Ga;La;Y;	13;4;0.5;1.5;	548 K;
Co13Ga4La0.75Y1.25	Co;Ga;La;Y;	13;4;0.75;1.25;	544 K;
Co13Ga4Pr2	Co;Ga;Pr;	13;4;2;	550 K;550 K;
Co13Ga4Sm2	Co;Ga;Sm;	13;4;2;	545 K;
Co13Ga4Tb2	Co;Ga;Tb;	13;4;2;	647 K;
Co13Ga4Y2	Co;Ga;Y;	13;4;2;	632 K;600 K;
Co13Ho2Mn4	Co;Ho;Mn;	13;2;4;	789 K;
Co13Ho2Ru4	Co;Ho;Ru;	13;2;4;	593 K;
Co13InLa6	Co;In;La;	13;1;6;	490 K;
Co13La	Co;La;	13;1;	1290 K;1290 K;1297 K;1323 K;1253 K;1318 K;
Co13La2Mn4	Co;La;Mn;	13;2;4;	593 K;
Co13La6Pb	Co;La;Pb;	13;6;1;	140 K;
Co13La6Sb	Co;La;Sb;	13;6;1;	490 K;
Co13La6Sn	Co;La;Sn;	13;6;1;	190 K;190 K;
Co13La6Tl	Co;La;Tl;	13;6;1;	340 K;
Co13Mn4Nd2	Co;Mn;Nd;	13;4;2;	709 K;
Co13Mn4Pr2	Co;Mn;Pr;	13;4;2;	663 K;
Co13Mn4Sm2	Co;Mn;Sm;	13;4;2;	571 K;
Co13Mn4Tb2	Co;Mn;Tb;	13;4;2;	916 K;
Co13Mn4Y2	Co;Mn;Y;	13;4;2;	663 K;
Co13Mn4Yb2	Co;Mn;Yb;	13;4;2;	708 K;
Co13Ru4Y2	Co;Ru;Y;	13;4;2;	520 K;
Co14.45Mn2.55Pr2	Co;Mn;Pr;	14.45;2.55;2;	990 K;
Co14.4Cr5Fe9.6Y3	Co;Cr;Fe;Y;	14.4;5;9.6;3;	608 K;
Co14.5La2Mn2.5	Co;La;Mn;	14.5;2;2.5;	848 K;
Co14.66Cr2.34Gd2	Co;Cr;Gd;	14.66;2.34;2;	757 K;
Co14.66Cr2.34Sm2	Co;Cr;Sm;	14.66;2.34;2;	722 K;
Co14.66Cr2.34Y2	Co;Cr;Y;	14.66;2.34;2;	708 K;
Co14.6Pr2Si2.4	Co;Pr;Si;	14.6;2;2.4;	723 K;
Co14.85Fe1.65Ga0.5Pr2	Co;Fe;Ga;Pr;	14.85;1.65;0.5;2;	1084 K;
Co14.8Pr2Si2.2	Co;Pr;Si;	14.8;2;2.2;	750 K;
Co14Cr3Gd2	Co;Cr;Gd;	14;3;2;	581 K;
Co14Cr3Sm2	Co;Cr;Sm;	14;3;2;	561 K;
Co14Cr3Y2	Co;Cr;Y;	14;3;2;	525 K;
Co14Dy2Ga3	Co;Dy;Ga;	14;2;3;	763 K;
Co14Er2Ga3	Co;Er;Ga;	14;2;3;	793 K;
Co14Fe2La2Mo	Co;Fe;La;Mo;	14;2;2;1;	639 K;
Co14Ga3Gd2	Co;Ga;Gd;	14;3;2;	770 K;
Co14Ga3Ho2	Co;Ga;Ho;	14;3;2;	750 K;
Co14Ga3Pr2	Co;Ga;Pr;	14;3;2;	718 K;730 K;730 K;
Co14Ga3Sm2	Co;Ga;Sm;	14;3;2;	677 K;764 K;
Co14Ga3Tb	Co;Ga;Tb;	14;3;1;	755 K;
Co14Ga3Tb2	Co;Ga;Tb;	14;3;2;	755 K;805 K;
Co14Ga3Y2	Co;Ga;Y;	14;3;2;	789 K;
Co14Ge3U2	Co;Ge;U;	14;3;2;	315 K;
Co14Ho2Mn3	Co;Ho;Mn;	14;2;3;	884 K;
Co14Ho2Ru3	Co;Ho;Ru;	14;2;3;	763 K;
Co14La2Mn3	Co;La;Mn;	14;2;3;	757 K;
Co14Lu2Si3	Co;Lu;Si;	14;2;3;	580 K;
Co14Mn3Nd2	Co;Mn;Nd;	14;3;2;	795 K;
Co14Mn3Pr2	Co;Mn;Pr;	14;3;2;	883 K;
Co14Mn3Sm2	Co;Mn;Sm;	14;3;2;	809 K;
Co14Mn3Tb2	Co;Mn;Tb;	14;3;2;	1029 K;
Co14Mn3Y2	Co;Mn;Y;	14;3;2;	838 K;
Co14Pr2Si3	Co;Pr;Si;	14;2;3;	665 K;
Co14Ru3Y2	Co;Ru;Y;	14;3;2;	753 K;770 K;
Co14Si3Y2	Co;Si;Y;	14;3;2;	591 K;
Co15.24Cr1.76Gd2	Co;Cr;Gd;	15.24;1.76;2;	905 K;
Co15.24Cr1.76Sm2	Co;Cr;Sm;	15.24;1.76;2;	847 K;
Co15.24Cr1.76Y2	Co;Cr;Y;	15.24;1.76;2;	855 K;
Co15.3Cr1.7Pr2	Co;Cr;Pr;	15.3;1.7;2;	877 K;
Co15.3Fe1.7Pr2	Co;Fe;Pr;	15.3;1.7;2;	1143 K;
Co15.3Mn1.7Pr2	Co;Mn;Pr;	15.3;1.7;2;	1034 K;
Co15.3Pr2Si1.7	Co;Pr;Si;	15.3;2;1.7;	840 K;
Co15.5La2Mo1.5	Co;La;Mo;	15.5;2;1.5;	594 K;
Co15.5Pr2Si1.5	Co;Pr;Si;	15.5;2;1.5;	896 K;
Co15.6La2Mn1.4	Co;La;Mn;	15.6;2;1.4;	991 K;
Co15.7Ge1.3U2	Co;Ge;U;	15.7;1.3;2;	735 K;
Co15.83Cr1.17Gd2	Co;Cr;Gd;	15.83;1.17;2;	1001 K;
Co15.83Cr1.17Sm2	Co;Cr;Sm;	15.83;1.17;2;	948 K;
Co15.83Cr1.17Y2	Co;Cr;Y;	15.83;1.17;2;	990 K;
Co15.8La2Mo1.2	Co;La;Mo;	15.8;2;1.2;	863 K;
Co15.8La2Ti1.2	Co;La;Ti;	15.8;2;1.2;	872 K;872 K;
Co15.8La2V1.2	Co;La;V;	15.8;2;1.2;	827 K;
Co15Dy2Ga2	Co;Dy;Ga;	15;2;2;	923 K;
Co15Er2Ga2	Co;Er;Ga;	15;2;2;	932 K;
