wChemicalFormula	wListOfElements	wListOfElementsQ	wCurieTemperature
CoFe0.5O4Rh1.5	Co;Fe;O;Rh;	1;0.5;4;1.5;	160 K;
CoFe15RuY2	Co;Fe;Ru;Y;	1;15;1;2;	330 K;
CoFe2Ga	Co;Fe;Ga;	1;2;1;	1165 K;
CoFe2Ge	Co;Fe;Ge;	1;2;1;	925 K;
CoFe2N	Co;Fe;N;	1;2;1;	488 K;
CoFe2O4	Co;Fe;O;	1;2;4;	790 K;769 K;793 K;673 K;
CoFe2O4Zn	Co;Fe;O;Zn;	1;2;4;1;	380 K;800 K;695 K;550 K;
CoFe2Se4	Co;Fe;Se;	1;2;4;	88 K;
CoFe2Si	Co;Fe;Si;	1;2;1;	1038 K;1036 K;
CoFe9Mo2Nd	Co;Fe;Mo;Nd;	1;9;2;1;	480 K;
CoFe9V2Y	Co;Fe;V;Y;	1;9;2;1;	594 K;
CoFeO4Rh	Co;Fe;O;Rh;	1;1;4;1;	355 K;
CoFeP	Co;Fe;P;	1;1;1;	425 K;
CoFeSn	Co;Fe;Sn;	1;1;1;	229 K;251 K;
CoFeY	Co;Fe;Y;	1;1;1;	559 K;
CoGa	Co;Ga;	1;1;	109 K;
CoGa2Mn	Co;Ga;Mn;	1;2;1;	154 K;
CoGaMn2	Co;Ga;Mn;	1;1;2;	718 K;
CoGaU	Co;Ga;U;	1;1;1;	48 K;47 K;51 K;47 K;
CoGd	Co;Gd;	1;1;	216 K;
CoGd2Si2	Co;Gd;Si;	1;2;2;	214 K;
CoGd3	Co;Gd;	1;3;	129 K;156 K;
CoGeMn	Co;Ge;Mn;	1;1;1;	235 K;345 K;
CoGeMn2	Co;Ge;Mn;	1;1;2;	579 K;
CoGeU	Co;Ge;U;	1;1;1;	3 K;3 K;2.4 K;
CoH20N2O14S2	Co;H;N;O;S;	1;20;2;14;2;	6.5 K;
CoHo2Si2	Co;Ho;Si;	1;2;2;	77 K;
CoHo3	Co;Ho;	1;3;	10 K;
CoLaO3	Co;La;O;	1;1;3;	85 K;87 K;
CoLaOP	Co;La;O;P;	1;1;1;1;	33.2 K;
CoMn2O4	Co;Mn;O;	1;2;4;	105 K;95 K;
CoMn2Pt	Co;Mn;Pt;	1;2;1;	143 K;
CoMn2Sb	Co;Mn;Sb;	1;2;1;	485 K;
CoMn2Sn	Co;Mn;Sn;	1;2;1;	598 K;610 K;
CoMnO3	Co;Mn;O;	1;1;3;	394 K;391 K;
CoMnO6Y2	Co;Mn;O;Y;	1;1;6;2;	76 K;72 K;71 K;
CoMnP	Co;Mn;P;	1;1;1;	583 K;583 K;
CoMnSb	Co;Mn;Sb;	1;1;1;	430 K;490 K;
CoMnSn	Co;Mn;Sn;	1;1;1;	145 K;670 K;
CoNb0.05SnTi0.95	Co;Nb;Sn;Ti;	1;0.05;1;0.95;	141 K;
CoNb0.15SnTi0.85	Co;Nb;Sn;Ti;	1;0.15;1;0.85;	155 K;
CoNb0.3SnTi0.7	Co;Nb;Sn;Ti;	1;0.3;1;0.7;	120 K;
CoNb0.5SnTi0.5	Co;Nb;Sn;Ti;	1;0.5;1;0.5;	112 K;
CoNb0.65SnTi0.35	Co;Nb;Sn;Ti;	1;0.65;1;0.35;	91 K;
CoNb0.75SnTi0.25	Co;Nb;Sn;Ti;	1;0.75;1;0.25;	23 K;
CoNb0.85SnTi0.15	Co;Nb;Sn;Ti;	1;0.85;1;0.15;	17 K;
CoNd	Co;Nd;	1;1;	202 K;
CoNd3	Co;Nd;	1;3;	27 K;
CoNdOP	Co;Nd;O;P;	1;1;1;1;	55 K;
CoNi4Tb	Co;Ni;Tb;	1;4;1;	50 K;
CoO3Sr	Co;O;Sr;	1;3;1;	160 K;300 K;
CoO4V2	Co;O;V;	1;4;2;	145 K;150 K;
CoOPPr	Co;O;P;Pr;	1;1;1;1;	48 K;
CoOPSm	Co;O;P;Sm;	1;1;1;1;	65 K;
CoPr	Co;Pr;	1;1;	142 K;
CoPr3	Co;Pr;	1;3;	7 K;7 K;
CoPt	Co;Pt;	1;1;	813 K;840 K;813 K;
CoPt3	Co;Pt;	1;3;	773 K;288 K;
CoRh2Sb	Co;Rh;Sb;	1;2;1;	450 K;
CoRh2Sn	Co;Rh;Sn;	1;2;1;	457 K;444 K;444 K;
CoS1.75Se0.25	Co;S;Se;	1;1.75;0.25;	40 K;17 K;
CoS1.8Se0.2	Co;S;Se;	1;1.8;0.2;	42 K;42 K;92 K;
CoS1.97	Co;S;	1;1.97;	122 K;
CoS1.9Se0.1	Co;S;Se;	1;1.9;0.1;	90 K;94 K;94 K;
CoS2	Co;S;	1;2;	119.1 K;122 K;122 K;122 K;120 K;121 K;116 K;116 K;124 K;118 K;124 K;130 K;116.75 K;122 K;120 K;121.5 K;121 K;121.13 K;124 K;110 K;124 K;124 K;
CoSbTi	Co;Sb;Ti;	1;1;1;	900 K;
CoSbV	Co;Sb;V;	1;1;1;	58 K;
CoSi	Co;Si;	1;1;	125 K;75 K;
CoSi2Tb2	Co;Si;Tb;	1;2;2;	198 K;
CoSi3U2	Co;Si;U;	1;3;2;	10 K;
CoSnTi	Co;Sn;Ti;	1;1;1;	135 K;
CoSnU	Co;Sn;U;	1;1;1;	80 K;88 K;
CoTb3	Co;Tb;	1;3;	77 K;
CoTm3	Co;Tm;	1;3;	5 K;5 K;
CoY	Co;Y;	1;1;	91 K;
Cr0.15La0.7Mn0.85O3Sr0.3	Cr;La;Mn;O;Sr;	0.15;0.7;0.85;3;0.3;	290 K;
Cr0.1CuRh1.9Se4	Cr;Cu;Rh;Se;	0.1;1;1.9;4;	5 K;
Cr0.25CuS4V1.75	Cr;Cu;S;V;	0.25;1;4;1.75;	8 K;
Cr0.25Ni0.75	Cr;Ni;	0.25;0.75;	225 K;217 K;550 K;453 K;340 K;
Cr0.2GaGeMn0.8	Cr;Ga;Ge;Mn;	0.2;1;1;0.8;	477 K;
Cr0.33NbS2	Cr;Nb;S;	0.33;1;2;	133.5 K;129.58 K;118 K;
Cr0.3La0.7Mn0.7O3Sr0.3	Cr;La;Mn;O;Sr;	0.3;0.7;0.7;3;0.3;	240 K;
Cr0.4CuRh1.6Se4	Cr;Cu;Rh;Se;	0.4;1;1.6;4;	50 K;
Cr0.51Mn0.49Sb	Cr;Mn;Sb;	0.51;0.49;1;	390 K;
Cr0.5Fe0.5	Cr;Fe;	0.5;0.5;	179 K;997 K;1007 K;160 K;330 K;60 K;260 K;1010 K;
Cr0.5Fe1.5MnO4	Cr;Fe;Mn;O;	0.5;1.5;1;4;	485 K;
Cr0.5Mn0.5O3Sm	Cr;Mn;O;Sm;	0.5;0.5;3;1;	70 K;
Cr0.67Te	Cr;Te;	0.67;1;	354 K;345 K;
Cr0.6Mn0.4O3Sm	Cr;Mn;O;Sm;	0.6;0.4;3;1;	75 K;
Cr0.7Mn0.3O3Sm	Cr;Mn;O;Sm;	0.7;0.3;3;1;	143 K;
Cr0.7Mn0.3Sb	Cr;Mn;Sb;	0.7;0.3;1;	255 K;
Cr0.85Mn0.15O3Sm	Cr;Mn;O;Sm;	0.85;0.15;3;1;	170 K;
Cr0.85O3Ru0.15Yb	Cr;O;Ru;Yb;	0.85;3;0.15;1;	119.95 K;
Cr0.8Mn0.2O3Sm	Cr;Mn;O;Sm;	0.8;0.2;3;1;	163 K;
Cr0.8O2V0.2	Cr;O;V;	0.8;2;0.2;	114 K;
Cr0.95Mn0.05O3Sm	Cr;Mn;O;Sm;	0.95;0.05;3;1;	187 K;
Cr0.95O3Ru0.05Yb	Cr;O;Ru;Yb;	0.95;3;0.05;1;	119.8 K;
Cr0.9LaO3Ru0.1	Cr;La;O;Ru;	0.9;1;3;0.1;	287 K;
Cr0.9Mn0.1O3Sm	Cr;Mn;O;Sm;	0.9;0.1;3;1;	179 K;
Cr0.9O2V0.1	Cr;O;V;	0.9;2;0.1;	260 K;
Cr0.9O3Ru0.1Yb	Cr;O;Ru;Yb;	0.9;3;0.1;1;	119.81 K;
Cr1.25CuS4V0.75	Cr;Cu;S;V;	1.25;1;4;0.75;	46 K;
Cr1.5CuRh0.5Se4	Cr;Cu;Rh;Se;	1.5;1;0.5;4;	350 K;
Cr1.5Fe0.5MnO4	Cr;Fe;Mn;O;	1.5;0.5;1;4;	224 K;240 K;
Cr1.75CuS4V0.25	Cr;Cu;S;V;	1.75;1;4;0.25;	267 K;
Cr1.7In0.3MnS4	Cr;In;Mn;S;	1.7;0.3;1;4;	36 K;36 K;
Cr1.8In0.2MnS4	Cr;In;Mn;S;	1.8;0.2;1;4;	48 K;48 K;
Cr11Ge19	Cr;Ge;	11;19;	88 K;
Cr2CuITe3	Cr;Cu;I;Te;	2;1;1;3;	281 K;281 K;
Cr2CuS0.5Se3.5	Cr;Cu;S;Se;	2;1;0.5;3.5;	406 K;
Cr2CuS1.5Se2.5	Cr;Cu;S;Se;	2;1;1.5;2.5;	370 K;
Cr2CuS2.5Se1.5	Cr;Cu;S;Se;	2;1;2.5;1.5;	350 K;
Cr2CuS2Se2	Cr;Cu;S;Se;	2;1;2;2;	358 K;
Cr2CuS3Se	Cr;Cu;S;Se;	2;1;3;1;	310 K;
Cr2CuS4	Cr;Cu;S;	2;1;4;	364 K;375 K;377 K;
Cr2CuSSe3	Cr;Cu;S;Se;	2;1;1;3;	392 K;
Cr2CuSe4	Cr;Cu;Se;	2;1;4;	437 K;460 K;432 K;450 K;414.5 K;438 K;460 K;
Cr2CuTe4	Cr;Cu;Te;	2;1;4;	329 K;326 K;344.6 K;324 K;345 K;365 K;
Cr2CuTe5	Cr;Cu;Te;	2;1;5;	190 K;
Cr2DyFe10	Cr;Dy;Fe;	2;1;10;	495 K;495 K;
Cr2ErFe10	Cr;Er;Fe;	2;1;10;	475 K;475 K;
Cr2EuS4	Cr;Eu;S;	2;1;4;	85 K;
Cr2EuSe4	Cr;Eu;Se;	2;1;4;	140 K;155 K;155 K;
Cr2Fe10Gd	Cr;Fe;Gd;	2;10;1;	580 K;580 K;
Cr2Fe10Ho	Cr;Fe;Ho;	2;10;1;	485 K;485 K;
Cr2Fe10Lu	Cr;Fe;Lu;	2;10;1;	540 K;450 K;
Cr2Fe10Nd	Cr;Fe;Nd;	2;10;1;	530 K;
Cr2Fe10Sm	Cr;Fe;Sm;	2;10;1;	565 K;
Cr2Fe10Tb	Cr;Fe;Tb;	2;10;1;	525 K;525 K;
Cr2Fe10Tm	Cr;Fe;Tm;	2;10;1;	465 K;465 K;
Cr2Fe10Y	Cr;Fe;Y;	2;10;1;	525 K;450 K;525 K;
Cr2Fe15Y2	Cr;Fe;Y;	2;15;2;	386 K;
Cr2FeO4	Cr;Fe;O;	2;1;4;	50 K;80 K;90 K;88 K;
Cr2FeS4	Cr;Fe;S;	2;1;4;	170 K;170 K;204 K;177 K;
Cr2HgS4	Cr;Hg;S;	2;1;4;	36 K;
Cr2HgSe4	Cr;Hg;Se;	2;1;4;	120 K;110 K;106 K;
Cr2MnO4	Cr;Mn;O;	2;1;4;	55 K;43 K;47 K;53 K;36 K;40 K;42 K;
Cr2MnS4	Cr;Mn;S;	2;1;4;	103 K;74 K;95 K;66 K;67 K;67 K;
Cr2NiO4	Cr;Ni;O;	2;1;4;	80 K;50 K;
Cr2PbS4	Cr;Pb;S;	2;1;4;	138 K;121 K;138 K;
Cr2PbSe4	Cr;Pb;Se;	2;1;4;	194 K;194 K;193 K;198 K;
Cr2PuSi2	Cr;Pu;Si;	2;1;2;	81 K;81 K;
Cr2S4Sn	Cr;S;Sn;	2;4;1;	100 K;
Cr2S4Sr	Cr;S;Sr;	2;4;1;	75 K;75 K;
Cr2Se4Sr	Cr;Se;Sr;	2;4;1;	150 K;150 K;
Cr2Se4Zn	Cr;Se;Zn;	2;4;1;	129.5 K;
Cr2Te3	Cr;Te;	2;3;	183 K;322 K;180 K;
Cr2Te4Ti	Cr;Te;Ti;	2;4;1;	214 K;
Cr3F14Na5	Cr;F;Na;	3;14;5;	18 K;
Cr3Se4	Cr;Se;	3;4;	70 K;
Cr3Te4	Cr;Te;	3;4;	317 K;329 K;325 K;309 K;326 K;295 K;
Cr4.3Fe24.7N5.7Sm3	Cr;Fe;N;Sm;	4.3;24.7;5.7;3;	713 K;
Cr4.3Fe24.7Sm3	Cr;Fe;Sm;	4.3;24.7;3;	437 K;
Cr4Cu2Te7	Cr;Cu;Te;	4;2;7;	285 K;325 K;
Cr5CsTe8	Cr;Cs;Te;	5;1;8;	125 K;
Cr5KTe8	Cr;K;Te;	5;1;8;	250 K;
Cr5RbTe8	Cr;Rb;Te;	5;1;8;	120 K;
Cr5S6	Cr;S;	5;6;	310 K;
Cr5Te8	Cr;Te;	5;8;	180 K;
Cr7Se4Te4	Cr;Se;Te;	7;4;4;	140 K;
Cr7Te8	Cr;Te;	7;8;	350 K;
Cr8Cu4Te17	Cr;Cu;Te;	8;4;17;	270 K;
CrCuRhSe4	Cr;Cu;Rh;Se;	1;1;1;4;	220 K;
CrDy2O7Sb	Cr;Dy;O;Sb;	1;2;7;1;	16 K;
CrF5Ti	Cr;F;Ti;	1;5;1;	26 K;
CrF5V	Cr;F;V;	1;5;1;	40 K;
CrF7Na2Ni	Cr;F;Na;Ni;	1;7;2;1;	4 K;
CrFe2Ga	Cr;Fe;Ga;	1;2;1;	353 K;
CrFe2Se4	Cr;Fe;Se;	1;2;4;	320 K;
CrFe2Si	Cr;Fe;Si;	1;2;1;	450 K;
CrFeMnO4	Cr;Fe;Mn;O;	1;1;1;4;	375 K;
CrFeRuSi	Cr;Fe;Ru;Si;	1;1;1;1;	310 K;
CrGa2Sb2	Cr;Ga;Sb;	1;2;2;	345 K;
CrGdO3	Cr;Gd;O;	1;1;3;	170 K;
CrGdO4	Cr;Gd;O;	1;1;4;	21.3 K;
CrGe3La	Cr;Ge;La;	1;3;1;	84 K;
CrGe3Nd	Cr;Ge;Nd;	1;3;1;	122 K;
CrGe3Sm	Cr;Ge;Sm;	1;3;1;	155 K;
CrGeTe3	Cr;Ge;Te;	1;1;3;	61 K;
CrI3	Cr;I;	1;3;	61 K;61 K;68 K;
CrLaO3	Cr;La;O;	1;1;3;	300 K;
CrLaSb3	Cr;La;Sb;	1;1;3;	144 K;132 K;132 K;146 K;126 K;125 K;132 K;
CrLuO3	Cr;Lu;O;	1;1;3;	112 K;
CrNb3S6	Cr;Nb;S;	1;3;6;	118 K;129.58 K;133.5 K;
CrNb4Se8	Cr;Nb;Se;	1;4;8;	79 K;
CrNdSb3	Cr;Nd;Sb;	1;1;3;	122 K;142 K;
CrNiP	Cr;Ni;P;	1;1;1;	135.1 K;140 K;
CrO2	Cr;O;	1;2;	394 K;405 K;396 K;408 K;399 K;396 K;390 K;398 K;410 K;398 K;396 K;
CrO3Sm	Cr;O;Sm;	1;3;1;	185 K;196 K;
CrO3Tm	Cr;O;Tm;	1;3;1;	125 K;
CrO3Yb	Cr;O;Yb;	1;3;1;	119.94 K;118 K;
CrO4Y	Cr;O;Y;	1;4;1;	9.2 K;9.2 K;
CrO6OsSr2	Cr;O;Os;Sr;	1;6;1;2;	725 K;
CrO7Pr2Sb	Cr;O;Pr;Sb;	1;7;2;1;	7 K;
CrPrSb3	Cr;Pr;Sb;	1;1;3;	147 K;123 K;
CrS2Tl	Cr;S;Tl;	1;2;1;	90 K;
CrS3U	Cr;S;U;	1;3;1;	137 K;
CrSb3Sm	Cr;Sb;Sm;	1;3;1;	112 K;
CrSb3Yb	Cr;Sb;Yb;	1;3;1;	280 K;
CrSbSe3	Cr;Sb;Se;	1;1;3;	72 K;
CrSe2Tl	Cr;Se;Tl;	1;2;1;	105 K;
CrSiTe3	Cr;Si;Te;	1;1;3;	33 K;
CrTe	Cr;Te;	1;1;	331 K;347 K;
CrTe2	Cr;Te;	1;2;	310 K;
Cu0.3Fe0.7	Cu;Fe;	0.3;0.7;	505 K;
Cu0.5Ni0.5	Cu;Ni;	0.5;0.5;	430 K;15 K;445 K;50 K;385 K;5.1 K;300 K;6.7 K;
Cu0.9Sb2U	Cu;Sb;U;	0.9;2;1;	113 K;113 K;
Cu2EuP2	Cu;Eu;P;	2;1;2;	51 K;
Cu2GdO8RuSr2	Cu;Gd;O;Ru;Sr;	2;1;8;1;2;	133 K;
Cu2Ge2U	Cu;Ge;U;	2;2;1;	100 K;109 K;107 K;
Cu2GeMn	Cu;Ge;Mn;	2;1;1;	300 K;
Cu2InMn	Cu;In;Mn;	2;1;1;	500 K;510 K;575 K;500 K;
Cu2MnSn	Cu;Mn;Sn;	2;1;1;	503 K;530 K;530 K;
Cu2NpSi2	Cu;Np;Si;	2;1;2;	41 K;34 K;
Cu2O4Se	Cu;O;Se;	2;4;1;	58 K;
Cu2O7V2	Cu;O;V;	2;7;2;	33.3 K;35 K;
Cu2P2U	Cu;P;U;	2;2;1;	216 K;216 K;
Cu2Si2U	Cu;Si;U;	2;2;1;	103 K;100 K;
Cu3Sb4U3	Cu;Sb;U;	3;4;3;	91 K;88 K;
Cu4Ge4U3	Cu;Ge;U;	4;4;3;	73 K;71 K;73 K;
Cu5SnU	Cu;Sn;U;	5;1;1;	53.5 K;
Cu5Tb	Cu;Tb;	5;1;	40 K;
Cu6Gd	Cu;Gd;	6;1;	20 K;
CuF4K2	Cu;F;K;	1;4;2;	6.189 K;6.3 K;6.28 K;6.25 K;
CuF4Rb2	Cu;F;Rb;	1;4;2;	6.05 K;
CuFe2Ga	Cu;Fe;Ga;	1;2;1;	798 K;
CuFe2O4	Cu;Fe;O;	1;2;4;	728 K;
CuFeSb	Cu;Fe;Sb;	1;1;1;	375 K;
CuGa3Pr	Cu;Ga;Pr;	1;3;1;	4.6 K;
CuGe2Mn2	Cu;Ge;Mn;	1;2;2;	612 K;
CuMn3N	Cu;Mn;N;	1;3;1;	150 K;
CuMnSb	Cu;Mn;Sb;	1;1;1;	55 K;
CuO3Se	Cu;O;Se;	1;3;1;	25 K;
CuP2U	Cu;P;U;	1;2;1;	74.5 K;75 K;
CuSb2U	Cu;Sb;U;	1;2;1;	102 K;106 K;114 K;
CuSi3U2	Cu;Si;U;	1;3;2;	30 K;
H0.03Er0.97	H;Er;	0.03;0.97;	24 K;
H1.5Fe23Ho6	H;Fe;Ho;	1.5;23;6;	575 K;
H12.1Fe23Ho6	H;Fe;Ho;	12.1;23;6;	696 K;
H15.7Fe23Ho6	H;Fe;Ho;	15.7;23;6;	702 K;
H2.25Pu	H;Pu;	2.25;1;	60 K;
H3U	H;U;	3;1;	170 K;180 K;
H8.2Fe23Ho6	H;Fe;Ho;	8.2;23;6;	671 K;
Dy	Dy;	1;	90.5 K;89 K;
Dy0.887Th0.113	Dy;Th;	0.887;0.113;	123 K;
Dy2Fe17	Dy;Fe;	2;17;	395 K;364 K;371 K;367 K;380 K;364 K;370 K;420 K;395 K;362 K;360 K;360 K;363 K;363 K;363 K;377 K;
Dy2Fe17N2.7	Dy;Fe;N;	2;17;2.7;	720 K;
Dy2Fe17N2.8	Dy;Fe;N;	2;17;2.8;	725 K;
Dy2Fe17N3	Dy;Fe;N;	2;17;3;	723 K;
Dy2In	Dy;In;	2;1;	143 K;
Dy2Ni17	Dy;Ni;	2;17;	168 K;154 K;169 K;170 K;160 K;168 K;
Dy2Ni2.5Si0.5	Dy;Ni;Si;	2;2.5;0.5;	42 K;
Dy2Ni2.6Si0.4	Dy;Ni;Si;	2;2.6;0.4;	46 K;
Dy2Ni7	Dy;Ni;	2;7;	80.5 K;80 K;81 K;
Dy2Pt	Dy;Pt;	2;1;	66 K;
Dy3In	Dy;In;	3;1;	138 K;
Dy3Pd2	Dy;Pd;	3;2;	27 K;
Dy3Rh2	Dy;Rh;	3;2;	18 K;
Dy6Fe23	Dy;Fe;	6;23;	545 K;545 K;534 K;529 K;524 K;
Dy6Mn23	Dy;Mn;	6;23;	443 K;443 K;443 K;
DyFe10Mo2	Dy;Fe;Mo;	1;10;2;	390 K;365 K;
DyFe10Re2	Dy;Fe;Re;	1;10;2;	415 K;
DyFe10Si2	Dy;Fe;Si;	1;10;2;	568 K;
DyFe10V2	Dy;Fe;V;	1;10;2;	540 K;
DyFe11NTi	Dy;Fe;N;Ti;	1;11;1;1;	746 K;
DyFe11Ti	Dy;Fe;Ti;	1;11;1;	534 K;533 K;
DyFe2	Dy;Fe;	1;2;	633 K;630 K;637 K;635 K;635 K;635 K;638 K;612 K;635 K;630 K;705 K;
DyFe3	Dy;Fe;	1;3;	612 K;631 K;605 K;600 K;609 K;602 K;606 K;605 K;605 K;600 K;
DyFe5.9Ga6.1	Dy;Fe;Ga;	1;5.9;6.1;	450 K;520 K;
DyGa	Dy;Ga;	1;1;	116 K;116 K;116 K;
DyMg	Dy;Mg;	1;1;	46 K;
DyMn2	Dy;Mn;	1;2;	36 K;36 K;38 K;38 K;49 K;45 K;
DyMn5	Dy;Mn;	1;5;	430 K;
DyN	Dy;N;	1;1;	26 K;
DyNi	Dy;Ni;	1;1;	64 K;62 K;56 K;48 K;
DyNi2	Dy;Ni;	1;2;	21 K;30 K;22 K;32 K;33 K;26.5 K;25 K;25 K;22 K;30 K;23 K;23 K;30 K;
DyNi2Si	Dy;Ni;Si;	1;2;1;	17 K;
DyNi3	Dy;Ni;	1;3;	69 K;66 K;69 K;
DyNi5	Dy;Ni;	1;5;	13 K;11.6 K;15 K;12.8 K;12 K;20 K;17 K;12 K;
DyO3V	Dy;O;V;	1;3;1;	112 K;
DyOs2	Dy;Os;	1;2;	16 K;
DyPt	Dy;Pt;	1;1;	23 K;
DyRh	Dy;Rh;	1;1;	3.8 K;
DyRu2	Dy;Ru;	1;2;	30 K;
DyZn	Dy;Zn;	1;1;	140 K;137 K;144 K;
Er	Er;	1;	20 K;18.7 K;
Er0.5Gd0.5	Er;Gd;	0.5;0.5;	193 K;
Er0.5Ho0.5	Er;Ho;	0.5;0.5;	35 K;
Er2Fe17	Er;Fe;	2;17;	305 K;298.5 K;296 K;297 K;310 K;297 K;310 K;293 K;305 K;
Er2Fe17N2.7	Er;Fe;N;	2;17;2.7;	690 K;697 K;
Er2Fe17N3	Er;Fe;N;	2;17;3;	697 K;
Er2Ni17	Er;Ni;	2;17;	166 K;140 K;166 K;166 K;166 K;
Er2Ni2.6Si0.4	Er;Ni;Si;	2;2.6;0.4;	7 K;
Er2Ni7	Er;Ni;	2;7;	74 K;67 K;74 K;
Er3In	Er;In;	3;1;	51 K;
Er3Pd2	Er;Pd;	3;2;	18 K;
Er3Rh2	Er;Rh;	3;2;	8 K;
Er5Ni3	Er;Ni;	5;3;	35 K;
Er5Si4	Er;Si;	5;4;	30 K;
Er6Fe23	Er;Fe;	6;23;	503 K;493 K;491 K;494 K;489 K;493 K;
Er6Mn23	Er;Mn;	6;23;	115 K;415 K;420 K;
ErFe10Mo2	Er;Fe;Mo;	1;10;2;	330 K;310 K;
ErFe10Re2	Er;Fe;Re;	1;10;2;	375 K;
ErFe10Si2	Er;Fe;Si;	1;10;2;	549 K;
ErFe10V2	Er;Fe;V;	1;10;2;	505 K;
ErFe11NTi	Er;Fe;N;Ti;	1;11;1;1;	723 K;
ErFe11Ti	Er;Fe;Ti;	1;11;1;	505 K;505 K;
ErFe2	Er;Fe;	1;2;	576 K;571 K;587 K;596 K;574 K;610 K;590 K;573 K;606 K;587 K;574 K;
ErFe2Mn10	Er;Fe;Mn;	1;2;10;	4 K;
ErFe3	Er;Fe;	1;3;	546 K;555 K;550 K;552 K;552 K;533 K;
ErFe4Ge2	Er;Fe;Ge;	1;4;2;	47 K;
ErFe5.8Ga6.2	Er;Fe;Ga;	1;5.8;6.2;	480 K;420 K;
ErFe5Mn7	Er;Fe;Mn;	1;5;7;	8 K;
ErFe6Mn6	Er;Fe;Mn;	1;6;6;	14 K;
ErFe7Mn5	Er;Fe;Mn;	1;7;5;	100 K;
ErFe8Mn4	Er;Fe;Mn;	1;8;4;	203 K;
ErFe9Mn3	Er;Fe;Mn;	1;9;3;	320 K;
ErGa	Er;Ga;	1;1;	32 K;32 K;
ErMg	Er;Mg;	1;1;	16 K;
ErMn12	Er;Mn;	1;12;	4 K;
ErMn2	Er;Mn;	1;2;	15 K;25 K;22 K;25 K;20 K;15 K;
ErMn5	Er;Mn;	1;5;	415 K;
ErN	Er;N;	1;1;	5 K;
ErNi	Er;Ni;	1;1;	10 K;12 K;13 K;10.5 K;13 K;
ErNi2	Er;Ni;	1;2;	21 K;7 K;7 K;21 K;16 K;16 K;5 K;14 K;18.5 K;
ErNi2Si	Er;Ni;Si;	1;2;1;	7 K;
ErNi3	Er;Ni;	1;3;	64 K;62 K;66 K;64 K;
ErNi5	Er;Ni;	1;5;	8 K;10 K;13 K;12 K;12 K;13 K;9.2 K;8 K;
ErO3V	Er;O;V;	1;3;1;	108 K;
ErOs2	Er;Os;	1;2;	3.4 K;
ErPt	Er;Pt;	1;1;	16 K;
ErRu2	Er;Ru;	1;2;	13 K;
ErSi2	Er;Si;	1;2;	4.3 K;4.2 K;
ErZn	Er;Zn;	1;1;	20 K;50 K;
Eu0.5Yb0.5	Eu;Yb;	0.5;0.5;	25 K;26 K;26.7 K;30 K;22.4 K;
Eu2Mg17	Eu;Mg;	2;17;	16 K;
Eu4P2.67	Eu;P;	4;2.67;	25 K;
EuFe2P2	Eu;Fe;P;	1;2;2;	27 K;30 K;
EuFe4Sb12	Eu;Fe;Sb;	1;4;12;	88 K;
EuH3Li	Eu;H;Li;	1;3;1;	37.6 K;38 K;
EuIn2Ni9	Eu;In;Ni;	1;2;9;	40 K;
EuO	Eu;O;	1;1;	70 K;69.005 K;77 K;70 K;69.29 K;67 K;69.5 K;69.6 K;69.3 K;69 K;127 K;67 K;69.15 K;
EuO3V	Eu;O;V;	1;3;1;	120 K;
EuOs4Sb12	Eu;Os;Sb;	1;4;12;	9 K;
EuPd2	Eu;Pd;	1;2;	80 K;105 K;
EuPt2	Eu;Pt;	1;2;	80 K;
EuRu4Sb12	Eu;Ru;Sb;	1;4;12;	3.3 K;
EuS	Eu;S;	1;1;	16.5 K;16.7 K;16.57 K;16 K;16 K;16.6 K;15.8 K;16.5 K;16.71 K;16.5 K;
F0.5Fe2Li0.5Mn0.5O3.5	F;Fe;Li;Mn;O;	0.5;2;0.5;0.5;3.5;	703 K;
F14Fe3Na5	F;Fe;Na;	14;3;5;	100 K;80 K;
F14Fe5.4Na0.8O4	F;Fe;Na;O;	14;5.4;0.8;4;	663 K;
F15Fe5K3	F;Fe;K;	15;5;3;	123 K;
F3FeK	F;Fe;K;	3;1;1;	36.6 K;
F3Ho	F;Ho;	3;1;	0.53 K;
F3MnNa	F;Mn;Na;	3;1;1;	66.7 K;
F3NiTl	F;Ni;Tl;	3;1;1;	129 K;
F3Tb	F;Tb;	3;1;	3.95 K;
F6RbV2	F;Rb;V;	6;1;2;	13 K;
Fe	Fe;	1;	1044 K;1049 K;1044 K;1043 K;1043 K;
Fe0.15La0.7Mn0.85O3Sr0.3	Fe;La;Mn;O;Sr;	0.15;0.7;0.85;3;0.3;	170 K;
Fe0.1GaMn1.9Ni	Fe;Ga;Mn;Ni;	0.1;1;1.9;1;	534 K;
Fe0.25Mn1.7P0.5Si0.5	Fe;Mn;P;Si;	0.25;1.7;0.5;0.5;	175 K;
Fe0.2GaGeMn0.8	Fe;Ga;Ge;Mn;	0.2;1;1;0.8;	292 K;
Fe0.2GaMn1.8Ni	Fe;Ga;Mn;Ni;	0.2;1;1.8;1;	503 K;
Fe0.33GeMnNi0.67	Fe;Ge;Mn;Ni;	0.33;1;1;0.67;	213 K;
Fe0.36GeMnNi0.64	Fe;Ge;Mn;Ni;	0.36;1;1;0.64;	215 K;
Fe0.3GaMn1.7Ni	Fe;Ga;Mn;Ni;	0.3;1;1.7;1;	454 K;
