Name,Temp,BCCmagmom_composition_average,GSmagmom_composition_average,IsBCC_composition_average,ElectricalConductivity_composition_average,BCCmagmom_max_value,ThirdIonizationEnergy_composition_average,NdValence_composition_average,GSestFCClatcnt_composition_average,ElectronAffinity_composition_average,valence_composition_average,valence_difference,GSestBCClatcnt_composition_average,SpaceGroupNumber_difference,SecondIonizationEnergy_composition_average,Electronegativity_arithmetic_average,IsHexagonal_composition_average,BCCefflatcnt_composition_average,HHIp_composition_average,ThirdIonizationEnergy_arithmetic_average,BCCmagmom_arithmetic_average
Dy12Fe19Ga1O48,520,-0.215800018,-0.165871274,-0.204386712,-0.828673432,1.022399734,1.192585673,-1.127811173,-0.719091786,0.659827365,-0.860070292,1.003422116,-0.719091786,1.803691918,1.782045404,1.079760276,-0.445068046,-0.849339699,-0.57464048,0.602468257,0.245608333
Dy1Ir2,23,-0.494406789,-0.941899203,-0.94101955,0.595388976,-0.733877144,-2.112063623,0.207899596,0.675419218,1.050113574,-0.951424349,-1.434345439,0.675419217,-0.571976145,-2.525974044,-0.213132448,0.105139501,0.876341953,1.880433744,-1.931570435,-0.513897738
Dy1Mn5,430,0.065350317,-0.941499126,1.643657074,-1.101779903,-0.371861304,0.087392389,-0.006385554,-0.476152798,-1.242264647,1.755362526,1.003422116,-0.476152798,-0.674155417,-0.451761337,-1.364338297,-0.395049178,-0.295819956,-0.270931755,-0.106546516,-0.068626366
Dy1Ni3,69,-0.919768429,-0.250607874,-0.94101955,0.189324107,-1.185489496,0.107507937,0.779326663,-0.216139599,0.60750824,-0.951424349,-1.434345439,-0.216139599,-0.571976145,-0.158977157,-0.726747365,-0.144954839,-0.045660562,-0.15649742,-0.02507175,-1.069370812
Dy2Ni7,81,-0.916980373,-0.225004492,-0.94101955,0.234892484,-1.185489496,0.138661091,0.874564507,-0.314691989,0.643363387,-0.951424349,-1.434345439,-0.314691989,-0.571976145,-0.125212354,-0.726747365,-0.228319618,-0.141461125,-0.286189666,-0.02507175,-1.069370812
Al4Dy25Ni46,42,-0.933485666,-0.376576516,-0.94101955,0.202326284,-1.185489496,-0.018465263,0.310756468,0.151060809,0.425458142,-0.951424349,-1.434345439,0.15106081,-0.571976145,-0.253686962,-0.673614787,0.105139501,0.315530516,0.250156433,-0.044550525,-1.097936143
Al9Dy5Ni1,83,-0.988354612,-0.880451085,-0.94101955,1.736826184,-1.185489496,-0.351731067,-1.563524311,0.884379014,-0.338009608,-0.951424349,-1.434345439,0.884379015,-0.571976145,-0.186194768,-0.673614787,0.105139501,1.071871724,0.43032185,-0.044550525,-1.097936143
Dy1H3O3,3.5,-0.995045947,-0.941899203,-0.94101955,-1.155593986,-1.255162304,-0.371042165,-1.792095138,-1.204624515,0.672349796,-1.995470716,-0.215461661,-1.204624514,1.356657605,-0.126468345,1.829519983,0.819694757,-1.921021445,-1.009850604,-0.358343115,-1.155066805
Dy1Pt2,9.1,-0.995045947,-0.941899203,-0.94101955,-0.368635352,-1.255162304,-2.112063623,0.779326663,0.78531338,1.830227516,-0.410066974,-0.82490355,0.78531338,-0.571976145,-0.211011743,-0.071445574,0.105139501,0.933852272,1.880433744,-1.931570435,-1.155066805
Dy1Rh2,26,-0.611231556,-0.941899203,-0.94101955,0.733106737,-0.855519682,-0.234411029,0.493613129,0.595557474,0.626905287,0.672647776,0.393980228,0.595557474,-0.571976145,-0.271245907,-0.071445574,0.105139501,0.783786446,1.038197038,-0.247867018,-0.663515334
Dy5Si4,140,-0.995045947,-0.941899203,-0.94101955,-1.100408126,-1.255162304,-0.302802882,-1.792095138,1.771272434,0.425646235,-0.590519433,-0.82490355,1.771272434,-0.546431327,-0.681952286,-0.744458224,0.77205774,1.429451959,2.173385642,-0.116032932,-1.155066805
Dy17Th3,119,-0.995045947,-0.941899203,-0.94101955,-0.931657963,-1.255162304,-0.771698659,-1.663524048,2.465314105,-0.519283824,-0.82961894,-0.82490355,2.465314104,-0.571976145,-1.075284704,-1.807109778,1.655724407,2.5715786,2.562462381,-0.84724592,-1.155066805
Dy4Fe10Y1,618,1.192311047,1.236424808,1.126721749,-0.217145814,1.022399734,-0.27293132,-0.049242584,0.157836017,-0.797895946,0.672647776,0.393980228,0.157836016,-0.520886509,-0.501083515,-1.228555043,0.105139501,0.317861276,0.756230836,-0.494333155,0.712500046
Dy1Fe4Y1,590,1.192311047,1.236424808,1.126721749,-0.208639717,1.022399734,-0.293624188,-0.006385554,0.171468924,-0.903698018,0.672647776,0.393980228,0.171468923,-0.520886509,-0.490420946,-1.228555043,0.105139501,0.333416325,0.772709381,-0.494333155,0.712500046
Al4Ho25Ni46,30,-0.933485666,-0.376576516,-0.94101955,0.202326284,-1.185489496,-0.017225988,0.310756468,0.130237895,0.425458142,-0.951424349,-1.434345439,0.130237895,-0.571976145,-0.245269144,-0.661807548,0.105139501,0.319906581,0.250156433,-0.043068837,-1.097936143
Al31Ho20Ni9,31,-0.979990443,-0.803640937,-0.94101955,1.502908516,-1.185489496,-0.299689078,-1.277810778,0.751769788,-0.221627329,-0.951424349,-1.434345439,0.751769789,-0.571976145,-0.188065395,-0.661807548,0.105139501,0.960951873,0.40285761,-0.043068837,-1.097936143
H3Ho1O3,2.55,-0.995045947,-0.941899203,-0.94101955,-1.155593986,-1.255162304,-0.370511048,-1.792095138,-1.213548621,0.672349796,-1.995470716,-0.215461661,-1.21354862,1.356657605,-0.122860709,1.841327222,0.819694757,-1.919145989,-1.009850604,-0.356861427,-1.155066805
Ho1Pt2,6.6,-0.995045947,-0.941899203,-0.94101955,-0.368635352,-1.255162304,-2.110824348,0.779326663,0.764490465,1.830227516,-0.410066974,-0.82490355,0.764490466,-0.571976145,-0.202593925,-0.053734715,0.105139501,0.938228336,1.880433744,-1.929347903,-1.155066805
Ho1Rh2,6,-0.611231556,-0.941899203,-0.94101955,0.733106737,-0.855519682,-0.233171754,0.493613129,0.57473456,0.626905287,0.672647776,0.393980228,0.57473456,-0.571976145,-0.262828089,-0.053734715,0.105139501,0.788162511,1.038197038,-0.245644486,-0.663515334
Ho5Si4,76,-0.995045947,-0.941899203,-0.94101955,-1.100408126,-1.255162304,-0.300737424,-1.792095138,1.736567576,0.425646235,-0.590519433,-0.82490355,1.736567577,-0.546431327,-0.667922589,-0.726747365,0.77205774,1.4367454,2.173385642,-0.1138104,-1.155066805
Cu1F4K2,9.5,-0.995045947,-0.941899203,-0.054844707,0.448412878,-1.255162304,2.109588911,-1.179851852,0.921608606,3.197452269,-2.459491323,-0.82490355,0.921608607,1.765374691,2.716910232,1.640604151,-0.895237858,0.84304687,-1.009850604,2.081780053,-1.155066805
Cl6Ir1K2,3.05,-0.911606087,-0.941899203,-0.25177245,-0.444245103,-0.733877144,0.514594626,-1.458762682,2.390220788,4.081977742,0.853100235,2.222305894,2.390220788,1.139526653,1.030294247,1.026627698,-0.895237858,2.093078426,-0.780545994,-0.083869463,-0.72762076
F3K1Mn1,81.5,-0.740550843,-0.941803185,0.29962523,-0.763966336,-0.371861304,2.050171078,-1.363524838,0.271872777,2.950431638,-1.6010532,2.222305894,0.271872778,1.765374691,2.439603256,1.227350769,-0.895237858,0.207028376,-1.016128145,1.967473251,-0.430773179
Ba3La17Mn20O60,230,-0.740338083,-0.941803185,-0.227648802,-1.113080861,-0.371861304,1.093672721,-1.290667887,-0.376278691,0.519692521,-0.813378219,1.612864005,-0.37627869,1.803691918,1.680755671,-0.089156433,-0.385045405,-0.501569175,-0.595925267,-0.246484712,-0.611312306
Ca1La9Mn10O30,152,-0.740325568,-0.941803185,-0.32069716,-1.044910569,-0.371861304,1.20338482,-1.286382184,-0.446880137,0.497262482,-0.805257858,1.612864005,-0.446880136,1.752602282,1.6897141,0.008253293,-0.355034084,-0.571727708,-0.550334627,1.133328127,-0.611312306
Ca3La7Mn10O30,255,-0.740375629,-0.941803185,-0.32069716,-0.902008139,-0.371861304,1.318488672,-1.303524996,-0.443079816,0.322900667,-0.837739301,1.612864005,-0.443079815,1.752602282,1.695789894,0.008253293,-0.475079367,-0.574493993,-0.673374425,1.133328127,-0.611312306
Cd3La7Mn10O30,326,-0.740375629,-0.941803185,-0.32069716,-1.023037748,-0.371861304,1.245430697,-1.046382816,-0.588412409,0.520962146,-0.837739301,1.612864005,-0.588412409,1.650423011,1.75232396,0.619277936,-0.295011442,-0.708452569,-0.745880019,0.76937498,-0.611312306
Co7La2,490,1.041333014,0.922562833,-0.94101955,0.568385493,0.562039002,-0.052227544,0.636469896,-0.184000613,-0.031418715,-0.951424349,-1.434345439,-0.184000613,-0.967920822,-0.311817711,-0.992410253,2.105894219,0.036029001,0.61097552,-0.312266235,1.081118644
Co4Cu1La1,690,0.750391935,0.656211113,-0.94101955,1.543211214,0.562039002,0.070269237,0.993611813,-0.384057387,0.162434192,-1.086763693,-0.82490355,-0.384057387,-0.571976145,-0.148688713,-0.508313435,1.605705539,-0.167175201,0.278353053,0.066937456,0.335723495
Co1La2Mn1O6,265,-0.605763695,-0.702134647,-0.630858355,-0.904924515,0.562039002,1.144318561,-1.192096718,-0.454986793,0.732566289,-1.113831562,1.612864005,-0.454986792,1.650423011,1.713239095,0.787531099,0.005101765,-0.57207643,-0.406422008,0.661500872,0.506246139
Co4La1Ni1,690,0.767120272,0.809831409,-0.94101955,0.609565804,0.562039002,0.045181477,0.850755046,-0.415385919,0.136689021,-0.951424349,-1.434345439,-0.415385919,-0.571976145,-0.214908881,-0.496506195,1.605705539,-0.197663649,0.223424572,0.006947165,0.392854156
Cr1La1O3,300,-0.99479564,-0.941899203,-0.32069716,-0.93651859,-1.254293541,1.096739473,-1.277810778,-0.413884603,0.855296692,-0.951424349,1.003422116,-0.413884602,1.803691918,1.718850974,1.050242177,-0.295011442,-0.538418408,-0.324029286,0.629400645,-1.154354432
Cu1La2Mn1O6,55,-0.867548089,-0.941851194,-0.630858355,-0.384837441,-0.371861304,1.174514552,-1.063525628,-0.434260455,0.83477109,-1.195035168,1.612864005,-0.434260454,1.752602282,1.773697735,0.805241958,-0.295011442,-0.556520572,-0.488814729,0.751757349,-0.611312306
Er1La1O3,7,-0.99479564,-0.941899203,-0.94101955,-1.09934959,-1.254293541,0.947645635,-1.706381078,0.236064938,0.796047532,-1.438645987,-0.82490355,0.236064939,1.356657605,1.547838325,0.554338119,0.305214973,0.097743307,0.379055268,0.332304148,-1.154354432
Fe12La1O19,728,0.235381473,0.283408053,0.222084931,-0.657108493,1.022399734,1.252994657,-0.814419141,-1.125706547,0.577685281,-0.520030191,1.003422116,-1.125706547,1.803691918,1.846392608,1.250965248,-0.80145248,-1.237674929,-1.052518263,0.618233778,0.713212418
Gd3La47Ru300,10,-0.994801535,-0.941899203,-0.94101955,0.409076519,-1.254293541,-0.338946327,0.840550991,0.132278833,0.727669165,2.528730205,1.612864005,0.132278834,-0.967920822,-0.269166127,-0.956988535,2.105894219,0.372298923,0.379055268,-0.700107082,-1.154303732
La49Lu50Tb50,1.5,-0.994634369,-0.940731854,-0.94101955,-1.00089743,-1.254293541,-0.925100371,-1.507340375,2.580399971,-0.360580716,-0.678929026,-0.82490355,2.58039997,-0.967920822,-0.978086087,-2.043254567,2.105894219,2.732137508,3.345193233,-0.925540478,-1.154354432
La98Lu115Tb85,1.3,-0.994634369,-0.940556751,-0.94101955,-0.997227493,-1.254293541,-0.929450208,-1.485768044,2.562303036,-0.360580716,-0.719803325,-0.82490355,2.562303035,-0.967920822,-0.955836306,-2.043254567,2.105894219,2.7152999,3.345193233,-0.925540478,-1.154354432
La1Mn1O3,166,-0.740300537,-0.941803185,-0.32069716,-1.116361784,-0.371861304,1.145832894,-1.277810778,-0.448780298,0.584443389,-0.789017137,1.612864005,-0.448780297,1.650423011,1.686676203,0.920362543,-0.295011442,-0.570344565,-0.488814729,0.727228187,-0.430060806
La2Mn1Ni1O6,300,-0.857511086,-0.849679017,-0.630858355,-0.945024687,-0.371861304,1.159461896,-1.149239688,-0.453057574,0.819323988,-1.113831562,1.612864005,-0.453057573,1.752602282,1.733965634,0.814097387,-0.295011442,-0.574813641,-0.521771817,0.706764631,-0.56846431
La3Mn4O12Pb1,315,-0.740363114,-0.941803185,-0.32069716,-1.098742012,-0.371861304,1.203726679,-1.084954143,-0.501431909,0.647924632,-0.748415334,1.612864005,-0.501431908,1.752602282,1.72379878,1.186025431,-0.445068046,-0.625879586,-0.675571564,0.61929987,-0.611312306
La13Mn20O60Pb7,332.5,-0.740388144,-0.941803185,-0.32069716,-1.091694103,-0.371861304,1.226884193,-1.007811489,-0.522492553,0.673317129,-0.732174612,1.612864005,-0.522492552,1.752602282,1.738647811,1.186025431,-0.505090688,-0.648093594,-0.750274298,0.61929987,-0.611312306
La11Mn20O60Pb9,350,-0.740413175,-0.941803185,-0.32069716,-1.084646194,-0.371861304,1.250041707,-0.930668835,-0.543553197,0.698709626,-0.715933891,1.612864005,-0.543553197,1.752602282,1.753496842,1.186025431,-0.565113329,-0.670307602,-0.824977032,0.61929987,-0.611312306
La7Mn10O30Pb3,361,-0.740375629,-0.941803185,-0.32069716,-1.095218057,-0.371861304,1.215305436,-1.046382816,-0.511962231,0.66062088,-0.740294973,1.612864005,-0.51196223,1.752602282,1.731223296,1.186025431,-0.475079367,-0.63698659,-0.712922931,0.61929987,-0.611312306
La31Mn50O150Pb19,340,-0.740395653,-0.941803185,-0.32069716,-1.08957973,-0.371861304,1.233831447,-0.984668692,-0.528810746,0.680934878,-0.727302396,1.612864005,-0.528810746,1.752602282,1.743102521,1.186025431,-0.52309748,-0.654757796,-0.772685118,0.61929987,-0.611312306
